batch,score,loss,loss_v
610,-50,-8.300705,524.9267
611,-38,-4.69373,271.80627
612,-46,-3.571741,516.9117
613,-50,-4.0836678,525.3828
614,-38,-4.8618064,239.43452
615,-50,-9.902539,524.6563
616,-42,-2.602338,498.7429
617,-44,-3.7288954,508.7428
618,-50,-4.609005,524.6474
619,-34,-3.9899309,203.13719
620,-50,-3.6541066,524.11774
621,-22,-2.1891077,68.00344
622,-44,-1.2262844,508.34143
623,-40,-7.7588854,486.1828
624,-38,-3.180197,472.50812
625,-38,-3.3128939,241.31836
626,-50,-6.399165,523.7203
627,-32,-6.9423103,421.34766
628,-42,-5.7838874,314.56006
629,-50,-10.860928,523.52704
630,-48,-10.087616,521.5888
631,-38,-5.0490775,471.61887
632,-46,-3.662433,409.33716
633,-50,-6.469627,523.3792
634,-46,-4.946115,432.36258
635,-32,-5.060727,420.9212
636,-46,-3.9434972,515.247
637,-42,-5.855211,496.98523
638,-28,-7.3963866,382.27243
639,-50,-11.547153,522.96185
640,-42,-4.261718,338.762
641,-42,-5.8739977,312.1368
642,-42,-7.80626,347.10852
643,-50,-7.482139,522.4786
644,-50,-7.366972,522.468
645,-44,-4.588845,506.70297
646,-50,-8.365622,522.1636
647,-48,-2.5847335,519.9165
648,-40,-5.1551757,484.37347
649,-32,-2.577005,153.48656
650,-50,-9.491292,522.0071
651,-28,-2.9064934,381.79605
652,-50,-5.837829,521.88794
653,-50,-8.195988,521.91406
654,-26,-4.095936,361.17346
655,-50,-9.054943,521.77637
656,-50,-5.473536,521.41656
657,-50,-3.17344,521.637
658,-44,-8.383037,505.77637
659,-36,-2.634615,247.14543
660,-50,-8.495525,521.15393
661,-50,-5.664467,521.33673
662,-50,-4.536174,521.19604
663,-30,-1.6510022,141.60841
664,-40,-2.7256265,317.2242
665,-42,-1.6242058,495.22333
666,-50,-5.025463,520.8218
667,-50,-5.0956507,520.7925
668,-50,-6.4279995,520.7644
669,-42,-3.7701895,494.89764
670,-50,-4.82613,520.5765
671,-36,-2.1745858,453.4302
672,-44,-7.988439,386.60577
673,0,3.185502,112.43046
674,-32,-4.387805,418.4754
675,-36,-4.2806935,203.62471
676,-50,-1.6380961,520.9806
677,-28,-2.120298,119.12943
678,-18,-3.840025,277.97055
679,-42,-5.139064,310.91095
680,-44,-4.016766,504.11273
681,-30,-1.3841261,149.45943
682,-50,-5.3201694,520.1702
683,-34,-4.064984,435.83832
684,-38,-2.643905,280.30786
685,-32,-0.69839007,164.83711
686,-34,-3.7818804,185.42271
687,-42,-1.4360819,493.7561
688,-38,-1.5808837,274.04462
689,-50,-6.105955,519.32513
690,-50,-0.60034895,519.6892
691,-50,-3.130221,519.1781
692,-40,-2.3480487,267.49417
693,-26,-0.96923137,110.262665
694,-38,-1.8631907,268.00024
695,-30,-1.211655,156.12439
696,-50,-3.8136992,518.6355
697,-50,-6.421938,518.75934
698,-32,-2.0321684,183.72229
699,-50,-8.345204,518.74445
700,-36,-2.2452877,232.85812
701,-28,-0.7508512,123.57299
702,-50,-10.628214,518.7042
703,-50,-5.975297,518.45746
704,-34,-3.849093,184.6342
705,-30,-5.09207,397.9909
706,-46,-3.2999876,405.4696
707,-44,-6.7264647,388.0462
708,-50,-6.96892,518.285
709,-48,-4.788674,515.7367
710,-50,-4.9383826,518.1522
711,-50,-3.7005048,517.9667
712,-50,-5.927293,518.00287
713,-42,-9.08928,308.3945
